sensor_index,name,timestamp,pm1_0,pm2_5
305164,NuevaMaderoDave,2026-09-08T16:06:05.322148+00:00,26.3,35.6
305192,11a avenida cumbres 1 sector,2026-09-08T16:06:05.322148+00:00,22.4,29.8
305232,PurpleAir Ancira Mty,2026-09-08T16:06:05.322148+00:00,23.7,32.6
43627,Liceo de Monterrey Rosemont,2026-09-08T16:06:05.322148+00:00,23.6,24.7
45769,Huascaran,2026-09-08T16:06:05.322148+00:00,14.8,22.3
308956,Jardín de las carreras,2026-09-08T16:06:05.322148+00:00,26.5,37.5
49949,El Horizonte,2026-09-08T16:06:05.322148+00:00,21.7,33.5
50555,Treviño,2026-09-08T16:06:05.322148+00:00,0.0,0.0
50871,TEC Garza Laguera,2026-09-08T16:06:05.322148+00:00,11.8,17.2
321194,Ramsesgs,2026-09-08T16:06:05.322148+00:00,24.3,34.5
119937,Grupo Reforma Cumbres,2026-09-08T16:06:05.322148+00:00,7.4,17.6
119965,Grupo Reforma El Norte,2026-09-08T16:06:05.322148+00:00,17.0,24.2
121825,Grupo Reforma Sierra Madre,2026-09-08T16:06:05.322148+00:00,3326.0,3326.0
136522,Bosques de La Pastora,2026-09-08T16:06:05.322148+00:00,20.0,30.2
147010,Santa Barbara,2026-09-08T16:06:05.322148+00:00,13.1,18.3
174781,Colegio Cambridge de Monterrey Campus Mitras,2026-09-08T16:06:05.322148+00:00,20.7,25.5
174787,Colegio Cambridge de Monterrey Campus Norte,2026-09-08T16:06:05.322148+00:00,24.7,30.4
189431,BEA,2026-09-08T16:06:05.322148+00:00,19.1,28.2
189435,Olinalá,2026-09-08T16:06:05.322148+00:00,19.2,30.3
189447,Río Amazonas NO,2026-09-08T16:06:05.322148+00:00,20.2,29.5
189455,CHIPINQUE CAV,2026-09-08T16:06:05.322148+00:00,17.5,28.4
189469,Hospital Zambran Hellion TecSalud,2026-09-08T16:06:05.322148+00:00,19.3,30.2
208785,Colegio Cambridge de Monterrey Campus Anáhuac,2026-09-08T16:06:05.322148+00:00,26.4,34.3
209147,Rincon de San Jeronimo,2026-09-08T16:06:05.322148+00:00,19.2,29.5
227879,Rectoria,2026-09-08T16:06:05.322148+00:00,24.8,33.7
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,2026-09-08T16:06:05.322148+00:00,13.7,16.9
227889,Parque central,2026-09-08T16:06:05.322148+00:00,21.4,28.2
227907,Estacionamiento Alumnos,2026-09-08T16:06:05.322148+00:00,23.7,31.3
227913,EGADE-Sombrillas,2026-09-08T16:06:05.322148+00:00,20.9,29.9
228003,EGL-Jardín Robótica,2026-09-08T16:06:05.322148+00:00,26.1,36.8
228001,C-MTY Explanada 2,2026-09-08T16:06:05.322148+00:00,29.0,41.0
228383,Estadio Banorte,2026-09-08T16:06:05.322148+00:00,27.3,37.1
228381,C-MTY RAMPA CAFETERÍA,2026-09-08T16:06:05.322148+00:00,21.4,29.6
228389,PEGS-Sensor-Canchas,2026-09-08T16:06:05.322148+00:00,23.2,31.4
228407,CEDES,2026-09-08T16:06:05.322148+00:00,22.1,28.3
278863,Rio Balsas,2026-09-08T16:12:31.491389+00:00,20.5,27.7
278869,Veredalta,2026-09-08T16:12:31.491389+00:00,19.2,25.0
278871,Parroquia Reina de Los Ángeles,2026-09-08T16:12:31.491389+00:00,13.3,21.0
278875,Secretaría de Relaciones Exteriores,2026-09-08T16:12:31.491389+00:00,21.8,31.0
278883,Mater International Institute,2026-09-08T16:12:31.491389+00:00,17.9,22.8
278889,Chipinque Meseta,2026-09-08T16:12:31.491389+00:00,20.4,30.6
278901,OFICINAS SAN PEDRO PARQUES,2026-09-08T16:12:31.491389+00:00,19.4,24.5
278919,Residencia Tabachín,2026-09-08T16:12:31.491389+00:00,16.9,24.3
278929,Rio Caura,2026-09-08T16:12:31.491389+00:00,20.5,28.1
278931,Residencia Platon,2026-09-08T16:12:31.491389+00:00,18.8,24.3
278937,Residencia Saqqara,2026-09-08T16:12:31.491389+00:00,22.3,29.8
278939,Residencia Rio Rosas,2026-09-08T16:12:31.491389+00:00,20.4,26.9
278951,Parque El Capitán,2026-09-08T16:12:31.491389+00:00,20.8,27.7
278957,Los Pinos,2026-09-08T16:12:31.491389+00:00,16.2,22.9
278959,Colegio Nobel,2026-09-08T16:12:31.491389+00:00,19.3,28.7
278955,Residencia San Mateo,2026-09-08T16:12:31.491389+00:00,19.8,26.5
279836,San Roberto International School San Agustin,2026-09-08T16:12:31.491389+00:00,20.3,27.5
279834,Colegio Ingles Campus Encino,2026-09-08T16:12:31.491389+00:00,21.0,28.7
